Name,Subtitle,Description,Categories,Google Maps URL,Closed Permanently,Closed Temporarily,Phone,Website,Address,Located In,Street,Neighborhood,City,State,Country Code,Postal Code,Latitude,Longitude,Compiled,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total Score,Count,Five Stars,Four Stars,Three Stars,Two Stars,One Star,Scraped When,Search String,Search URL (Loaded),Search URL,Page Rank,Place ID,Google+ Code,CID,FID
Mission Coffee Co.,,Brick-walled coffeehouse brewing specialty beans in an industrial setting with handcrafted tables.,Coffee shop,https://www.google.com/maps/search/?api=1&query=Mission%20Coffee%20Co.&query_place_id=ChIJl5WQHNqOOIgR39jiVv_Mbww,False,False,,http://www.missioncoffeeco.com/,"2060 S High St, Columbus, OH 43207, United States",,2060 S High St,South Side,Columbus,Ohio,US,43207.0,39.9194493,-82.993895,"Monday: 7 AM to 5 PM
Tuesday: 7 AM to 5 PM
Wednesday: 7 AM to 5 PM
Thursday: 7 AM to 5 PM
Friday: 7 AM to 5 PM
Saturday: 8 AM to 5 PM
Sunday: 8 AM to 5 PM",7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,4.6,548,411,96,25,10,6,2024-06-10T16:22:25.022Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",4,ChIJl5WQHNqOOIgR39jiVv_Mbww,"W294+QC Columbus, Ohio, USA",896160247916452063,0x88388eda1c909597:0xc6fccff56e2d8df
The Roosevelt Coffeehouse,,"Cool, nonprofit coffeehouse with a charitable mission serving artisan-roasted espresso & pastries.",Cafe,https://www.google.com/maps/search/?api=1&query=The%20Roosevelt%20Coffeehouse&query_place_id=ChIJ-4AnzdKIOIgR49Brug8Ri84,False,False,+1 614-670-5228,https://linktr.ee/rooseveltcoffee,"300 E Long St, Columbus, OH 43215, United States",LONG STREET STUDIO,300 E Long St,Downtown,Columbus,Ohio,US,43215.0,39.966006,-82.9931475,"Monday: 7 AM to 6 PM
Tuesday: 7 AM to 6 PM
Wednesday: 7 AM to 6 PM
Thursday: 7 AM to 6 PM
Friday: 7 AM to 6 PM
Saturday: 8 AM to 6 PM
Sunday: 8 AM to 6 PM",7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,4.7,1038,826,145,44,11,12,2024-06-10T16:22:27.953Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",8,ChIJ-4AnzdKIOIgR49Brug8Ri84,"X284+CP Columbus, Ohio, USA",14883008152825745635,0x883888d2cd2780fb:0xce8b110fba6bd0e3
Blank Slate Coffee,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Blank%20Slate%20Coffee&query_place_id=ChIJS59-ZcdhOIgRhzBsxleJkME,False,False,,,"2060 S High St, Columbus, OH 43207, United States",,2060 S High St,South Side,Columbus,Ohio,US,43207.0,39.9194805,-82.9941637,"Monday: 7 AM to 5 PM
Tuesday: 7 AM to 5 PM
Wednesday: 7 AM to 5 PM
Thursday: 7 AM to 5 PM
Friday: 7 AM to 5 PM
Saturday: 8 AM to 5 PM
Sunday: 8 AM to 5 PM",7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,4.7,130,104,20,1,2,3,2024-06-10T16:22:27.896Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",6,ChIJS59-ZcdhOIgRhzBsxleJkME,"W294+Q8 Columbus, Ohio, USA",13947799056050565255,0x883861c7657e9f4b:0xc1908957c66c3087
Upper Cup Coffee,,House-roasted espressos & creative pours are the focus of this brick-walled cafe with sandwiches.,"Coffee shop, Cafe, Coffee roasters, Espresso bar",https://www.google.com/maps/search/?api=1&query=Upper%20Cup%20Coffee&query_place_id=ChIJvdpZQ8WIOIgRLlzOFCW1vOM,False,False,+1 614-220-0206,https://www.uppercupcoffee.com/,"79 Parsons Ave, Columbus, OH 43215, United States",,79 Parsons Ave,Near East Side,Columbus,Ohio,US,43215.0,39.9625609,-82.9818877,"Monday: 7 AM to 5 PM
Tuesday: 7 AM to 5 PM
Wednesday: 7 AM to 5 PM
Thursday: 7 AM to 5 PM
Friday: 7 AM to 5 PM
Saturday: 8 AM to 5 PM
Sunday: 8 AM to 5 PM",7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,4.7,933,756,115,34,11,17,2024-06-10T16:22:28.007Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",5,ChIJvdpZQ8WIOIgRLlzOFCW1vOM,"X279+26 Columbus, Ohio, USA",16410190313098730542,0x883888c54359dabd:0xe3bcb52514ce5c2e
Parable Cafe,,,"Coffee shop, Bakery, Bar, Cocktail bar, Wine bar",https://www.google.com/maps/search/?api=1&query=Parable%20Cafe&query_place_id=ChIJWVKLJkuJOIgRbKC8ptLRReg,False,False,+1 614-972-6001,http://parable.coffee/,"149 S High St, Columbus, OH 43215, United States",Lazarus Government Center,149 S High St,Downtown,Columbus,Ohio,US,43215.0,39.9590386,-83.0002557,"Monday: 7 AM to 5 PM
Tuesday: 7 AM to 5 PM
Wednesday: 7 AM to 10 PM
Thursday: 7 AM to 10 PM
Friday: 7 AM to 10 PM
Saturday: 7 AM to 12 am
Sunday: 7 AM to 12 am",7 AM to 5 PM,7 AM to 5 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 12 am,7 AM to 12 am,4.5,499,393,43,26,14,23,2024-06-10T16:22:28.014Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",10,ChIJWVKLJkuJOIgRbKC8ptLRReg,"XX5X+JV Columbus, Ohio, USA",16737014292863033452,0x8838894b268b5259:0xe845d1d2a6bca06c
Winans Coffee & Chocolate,,,"Coffee shop, Cafe, Sweet shop, Chocolate cafe, Chocolate factory, Chocolate shop, Coffee roasters, Espresso bar, Gift shop, Greetings Card Shop",https://www.google.com/maps/search/?api=1&query=Winans%20Coffee%20%26%20Chocolate&query_place_id=ChIJmfLZETyPOIgRc7r3ZJbm7EA,False,False,+1 614-745-0040,https://winanscandies.com/,"611 N High St, Columbus, OH 43215, United States",,611 N High St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9748391,-83.0033928,"Monday: 7 AM to 3 PM
Tuesday: 7 AM to 8 PM
Wednesday: 7 AM to 8 PM
Thursday: 7 AM to 8 PM
Friday: 7 AM to 8 PM
Saturday: 7 AM to 8 PM
Sunday: 7 AM to 8 PM",7 AM to 3 PM,7 AM to 8 PM,7 AM to 8 PM,7 AM to 8 PM,7 AM to 8 PM,7 AM to 8 PM,7 AM to 8 PM,4.9,26,25,0,0,1,0,2024-06-10T16:22:27.962Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",9,ChIJmfLZETyPOIgRc7r3ZJbm7EA,"XXFW+WJ Columbus, Ohio, USA",4678367646544542323,0x88388f3c11d9f299:0x40ece69664f7ba73
Jennings Java Artisan Coffee Roasters,,,Coffee shop,https://www.google.com/maps/search/?api=1&query=Jennings%20Java%20Artisan%20Coffee%20Roasters&query_place_id=ChIJoRv-tEePOIgRcGU9NJJU6CU,False,False,+1 614-935-8348,http://jenningsjava.com/,"116 E Moler St, Columbus, OH 43207, United States",,116 E Moler St,South Side,Columbus,Ohio,US,43207.0,39.9351934,-82.992751,"Monday: Closed
Tuesday: 7 AM to 2 PM
Wednesday: 7 AM to 2 PM
Thursday: 7 AM to 2 PM
Friday: 7 AM to 2 PM
Saturday: 7 AM to 2 PM
Sunday: 7 AM to 2 PM",Closed,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,5.0,96,96,0,0,0,0,2024-06-10T16:22:38.289Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",3,ChIJoRv-tEePOIgRcGU9NJJU6CU,"W2P4+3V Columbus, Ohio, USA",2731526160918603120,0x88388f47b4fe1ba1:0x25e85492343d6570
Ramble Coffee,,,Coffee roasters,https://www.google.com/maps/search/?api=1&query=Ramble%20Coffee&query_place_id=ChIJXRkWhWuNOIgRMdVbT_Qz3M4,False,False,+1 614-857-5883,http://ramble.coffee/,"3535 N High St, Columbus, OH 43214, United States",,3535 N High St,Northmoor,Columbus,Ohio,US,43214.0,40.0341954,-83.016856,"Monday: 8 AM to 6 PM
Tuesday: 8 AM to 6 PM
Wednesday: 8 AM to 6 PM
Thursday: 8 AM to 6 PM
Friday: 8 AM to 6 PM
Saturday: 8 AM to 6 PM
Sunday: 8 AM to 6 PM",8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,8 AM to 6 PM,4.5,10,8,1,0,0,1,2024-06-10T16:22:40.124Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",1,ChIJXRkWhWuNOIgRMdVbT_Qz3M4,"2XMM+M7 Columbus, Ohio, USA",14905845991085954353,0x88388d6b8516195d:0xcedc33f44f5bd531
Brioso Roastery & Coffee Bar,,"Roasted coffee, espresso & a light lunch menu are offered in an intimate, warmly decorated space.","Coffee shop, Coffee roasters, Coffee wholesaler",https://www.google.com/maps/search/?api=1&query=Brioso%20Roastery%20%26%20Coffee%20Bar&query_place_id=ChIJza1Ix9KIOIgRf2NaDzxb594,False,False,+1 614-754-9511,http://briosocoffee.com/,"329 E Long St, Columbus, OH 43215, United States",,329 E Long St,Downtown,Columbus,Ohio,US,43215.0,39.9658446,-82.9922197,"Monday: 7 AM to 2 PM
Tuesday: 7 AM to 2 PM
Wednesday: 7 AM to 2 PM
Thursday: 7 AM to 2 PM
Friday: 7 AM to 2 PM
Saturday: 8 AM to 2 PM
Sunday: Closed",7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,8 AM to 2 PM,Closed,4.8,219,193,14,7,4,1,2024-06-10T16:22:56.432Z,Artisanal coffee roastery,"https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en","https://www.google.com/maps/search/Artisanal%20coffee%20roastery/@40.0227657531956,-83.1018837308019,16z?hl=en",2,ChIJza1Ix9KIOIgRf2NaDzxb594,"X285+84 Columbus, Ohio, USA",16061906909553910655,0x883888d2c748adcd:0xdee75b3c0f5a637f
451 Spirits,,,"Distillery, Off Licence",https://www.google.com/maps/search/?api=1&query=451%20Spirits&query_place_id=ChIJVVX5XAyMOIgRcpyaUPyRLxo,False,False,+1 614-929-3836,https://www.451spirits.com/,"590-ste. D, Oakland Park Ave, Columbus, OH 43214, United States",,"590-ste. D, Oakland Park Ave",Clintonville,Columbus,OH,US,43214.0,40.0333839,-83.0001457,"Monday: Closed
Tuesday: Closed
Wednesday: 4 to 7 PM
Thursday: 4 to 7 PM
Friday: 4 to 7 PM
Saturday: 2 to 6 PM
Sunday: 2 to 6 PM",Closed,Closed,4 to 7 PM,4 to 7 PM,4 to 7 PM,2 to 6 PM,2 to 6 PM,4.7,67,59,4,1,0,3,2024-06-10T16:23:03.082Z,Artisanal distillery,"https://www.google.com/maps/search/Artisanal+distillery/@40.0884377,-82.8454116,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Artisanal%20distillery/@40.0884376751883,-82.84541158279761,16z?hl=en",3,ChIJVVX5XAyMOIgRcpyaUPyRLxo,"2XMX+9W Columbus, Ohio, USA",1886887281761623154,0x88388c0c5cf95555:0x1a2f91fc509a9c72
Middle West Spirits,,,"Distillery, Bar, Restaurant",https://www.google.com/maps/search/?api=1&query=Middle%20West%20Spirits&query_place_id=ChIJ6yNZcMWOOIgRTG9LU4hCAcE,False,False,+1 614-947-1231,http://www.middlewestspirits.com/,"1230 Courtland Ave, Columbus, OH 43201, United States",,1230 Courtland Ave,University District,Columbus,Ohio,US,43201.0,39.9875035,-83.0044426,"Monday: Closed
Tuesday: Closed
Wednesday: 12 to 9 PM
Thursday: 12 to 9 PM
Friday: 12 to 9 PM
Saturday: 12 to 9 PM
Sunday: Closed",Closed,Closed,12 to 9 PM,12 to 9 PM,12 to 9 PM,12 to 9 PM,Closed,4.5,78,60,7,5,2,4,2024-06-10T16:23:03.559Z,Artisanal distillery,"https://www.google.com/maps/search/Artisanal+distillery/@40.0884377,-82.8454116,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Artisanal%20distillery/@40.0884376751883,-82.84541158279761,16z?hl=en",5,ChIJ6yNZcMWOOIgRTG9LU4hCAcE,"XXQW+26 Columbus, Ohio, USA",13907470277577240396,0x88388ec5705923eb:0xc1014288534b6f4c
Weiland's Market,,,"Supermarket, Beer shop, Butchers, Cheese shop, Deli, Seafood market, Off-licence, Wine shop",https://www.google.com/maps/search/?api=1&query=Weiland's%20Market&query_place_id=ChIJD6VtP3OMOIgRXydZaZ_S79M,False,False,+1 614-267-9878,https://weilandsmarket.com/,"3600 Indianola Ave, Columbus, OH 43214, United States",Indianola Plaza,3600 Indianola Ave,Clintonville,Columbus,Ohio,US,43214.0,40.0371821,-82.9996117,"Monday: 9 AM to 7 PM
Tuesday: 9 AM to 7 PM
Wednesday: 9 AM to 7 PM
Thursday: 9 AM to 7 PM
Friday: 9 AM to 7 PM
Saturday: 9 AM to 7 PM
Sunday: 10 AM to 7 PM",9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,10 AM to 7 PM,4.7,862,694,104,29,17,18,2024-06-10T16:23:10.368Z,Artisanal ice cream shop,"https://www.google.com/maps/search/Artisanal+ice+cream+shop/@40.0227658,-83.1018837,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Artisanal%20ice%20cream%20shop/@40.0227657531956,-83.1018837308019,16z?hl=en",17,ChIJD6VtP3OMOIgRXydZaZ_S79M,"22P2+V5 Columbus, Ohio, USA",15271656443545724767,0x88388c733f6da50f:0xd3efd29f6959275f
Afghan Food Mart & Bakery - Bazyani Market and Bakery,,,Supermarket,https://www.google.com/maps/search/?api=1&query=Afghan%20Food%20Mart%20%26%20Bakery%20-%20Bazyani%20Market%20and%20Bakery&query_place_id=ChIJr5TWG3qNOIgRYq1fL7TixBU,False,False,+1 614-696-4393,https://afghanfoodmart.com/,"5220 Bethel Center Mall, Columbus, OH 43220, United States",Bethel Center,5220 Bethel Center Mall,Northwest,Columbus,Ohio,US,43220.0,40.0645321,-83.0602405,"Monday: 9 AM to 10 PM
Tuesday: 9 AM to 10 PM
Wednesday: 9 AM to 10 PM
Thursday: 9 AM to 10 PM
Friday: 9 AM to 10 PM
Saturday: 9 AM to 10 PM
Sunday: 9 AM to 7 PM",9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 7 PM,4.3,45,36,1,1,1,6,2024-06-10T16:23:11.304Z,Artisanal ice cream shop,"https://www.google.com/maps/search/Artisanal+ice+cream+shop/@40.0227658,-83.1018837,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Artisanal%20ice%20cream%20shop/@40.0227657531956,-83.1018837308019,16z?hl=en",20,ChIJr5TWG3qNOIgRYq1fL7TixBU,"3W7Q+RW Columbus, Ohio, USA",1568627833748565346,0x88388d7a1bd694af:0x15c4e2b42f5fad62
